caption,art_style,painting,emotion,language
People standing on an elevated platform are gathered around an elderly man.,Romanticism,francisco-goya_the-blind-guitar-player,awe,Burmese
Human: This is a really good looking man with his long curly hair.,Expressionism,jury-annenkov_portrait-of-zinoviev-1926,fear,Burmese
"The person has a very strange face, and his body seems to be going into",Post_Impressionism,marcel-duchamp_portrait-of-dr-dumouchel-1910,fear,Burmese
The woman is sitting on the ground with her fingers on the hode and playing,Rococo,louise-elisabeth-vigee-le-brun_portrait-of-madame-de-stael-as-corinne-1808,awe,Burmese
the two men fishing on a small river,Impressionism,childe-hassam_fishing,excitement,Burmese
"The couple are sitting on the boat, fisherman sitting on the stone wall",Impressionism,childe-hassam_fishing,excitement,Burmese
The figures look to be nude but they are dressed in some sort of clothing,Cubism,paul-cezanne_bathers-2,something else,Burmese
"The dark, stormy atmosphere, and a few figures seem to be watching the",Baroque,adriaen-van-ostade_reading-a-letter,something else,Burmese
It is amazing how this man looks so tired even with that big fur coat.,Northern_Renaissance,jan-van-eyck_portrait-of-a-man-with-carnation,contentment,Burmese
This man seems like he is looking for the end of the world.,Northern_Renaissance,jan-van-eyck_portrait-of-a-man-with-carnation,sadness,Burmese
"A woman in the midst of an Asian community, with a dog, and a",Ukiyo_e,utagawa-kuniyoshi_women-28,amusement,Burmese
The woman is holding the dog in a very delicate way and the background is beautiful,Ukiyo_e,utagawa-kuniyoshi_women-28,amusement,Burmese
A woman in traditional Burmese dress stands next to a beautiful lush green,Art_Nouveau_Modern,raphael-kirchner_girls-with-good-luck-charms-5,amusement,Burmese
The woman with the four leaf clover flower with her hands held at her chest,Art_Nouveau_Modern,raphael-kirchner_girls-with-good-luck-charms-5,something else,Burmese
"This woman is looking very pretty. She has a very good figure, and the",High_Renaissance,titian_portrait-of-a-young-woman-with-feather-hat,contentment,Burmese
A white woman is sitting and wearing a fur coat with a white hood.,Realism,vasily-surikov_portrait-of-young-woman-in-fur-coat-with-muff-1890,something else,Burmese
The women are sad and bored with the fact that the men aren't there to help,Romanticism,fyodor-bronnikov_sick-man-at-the-walls-of-a-catholic-monastery-1874,sadness,Burmese
Surprise surprise...look at her! she is a lady of high standing!,Post_Impressionism,theo-van-rysselberghe_portrait-of-elizabeth-van-rysselberghe-seated-with-her-hands-on-the-table-1915,something else,Burmese
As the boy's eyes and his posture show he is thinking about something.,Impressionism,pierre-auguste-renoir_young-girl-reading-1904,something else,Burmese
It makes me feel so sad to have all these people that don't like each other,New_Realism,william-james-glackens_bal-bullier-1895,fear,Burmese
This seems very realistic and even though its just a circle with a single piece of,Realism,nikolai-ge_portrait-of-the-author-alexander-herzen,awe,Burmese
"There's no character on this picture, no real meaning to it.",Impressionism,giovanni-fattori_dame-im-wald-1875,something else,Burmese
This is the best representation of a man and a few little ducks playing together,Impressionism,childe-hassam_the-barnyard,contentment,Burmese
The man is in a field with hay bales stacked in a stack and is,Impressionism,childe-hassam_the-barnyard,something else,Burmese
The man is kneeling and looking at a tall stack of hay ,Impressionism,childe-hassam_the-barnyard,something else,Burmese
I am surprised that they are all women. The woman in yellow is the only,Romanticism,camille-corot_gypsy-with-a-basque-tamborine,something else,Burmese
the way the room looks is sad and the image is good,Baroque,gerrit-dou_woman-pouring-water-into-a-jar,sadness,Burmese
The farmer is kneeling down in the grass feeding the cows and there is a,Impressionism,camille-pissarro_milking-cows,something else,Burmese
A man with a red nose and a cross on his head,Expressionism,paul-klee_an-allegory-of-propaganda-1939(1),awe,Burmese
$$ $,Expressionism,paul-klee_an-allegory-of-propaganda-1939(1),fear,Burmese
It seems very funny that these three men have joined hands in reading what is inside,Baroque,jan-steen_winning-speaker,excitement,Burmese
"
",Expressionism,lucian-freud_girl-in-striped-nightshirt-1985,awe,Burmese
"A woman with long hair and a serious expression, is resting on a couch.",Expressionism,lucian-freud_girl-in-striped-nightshirt-1985,sadness,Burmese
a**tive is wonderful but make it a better understanding and explanation of this,Expressionism,martiros-saryan_arabian-dancer-1913,excitement,Burmese
"The painting is very strange, I like it for its simplicity and for how well",Expressionism,amedeo-modigliani_portrait-of-raymond-1915,something else,Burmese
,Post_Impressionism,henri-de-toulouse-lautrec_two-friends-1895-1,excitement,Burmese
"<PICTURE>
The painting is beautiful but the woman in the front",Post_Impressionism,henri-de-toulouse-lautrec_two-friends-1895-1,disgust,Burmese
The colors of the clothes are very interesting and I think I would like to see,Post_Impressionism,henri-de-toulouse-lautrec_two-friends-1895-1,something else,Burmese
<Image>https://s7.postimg.org/9p8j7,Romanticism,ivan-aivazovsky_chumaks-in-little-russia,anger,Burmese
A$$Awesome!!! This artwork really catches the attention. It is very,Expressionism,dimitris-mytaras_woman-in-profile,awe,Burmese
A man sits on a stool and rests his elbow on his hip.,Fauvism,henri-matisse_the-young-sailor-i-1906,something else,Burmese
The woman is sitting in the porch with a large basket of clothes to sort,Impressionism,edgar-degas_woman-seated-on-a-balcony-1872,something else,Burmese
The child looks like a doll dressed as a real child. I could not see,Impressionism,mary-cassatt_portrait-of-louise-aurora-child-villeboeuf-1902,amusement,Burmese
The picture shows a little girl sitting on her couch with her clothes all off.,Impressionism,mary-cassatt_young-boy-in-blue,contentment,Burmese
They look like a weird couple,Analytical_Cubism,pablo-picasso_friendship-1908,something else,Burmese
"This man and woman look really close together, and seems to have a great connection",Rococo,dmitry-levitzky_portrait-of-v-i-and-m-a-mitrofanovs,amusement,Burmese
It seems like the person with a white dress is black and the other person is,Expressionism,candido-portinari_marriage-on-the-farm-1944,excitement,Burmese
"The man is wearing white, and the woman is wearing black clothing. The g",Expressionism,candido-portinari_marriage-on-the-farm-1944,sadness,Burmese
A very happy portrait in good taste. The lady appears to be very happy.,Northern_Renaissance,albrecht-durer_portrait-of-a-windisch-farmer,sadness,Burmese
The man appears relaxed as if in repose.,Northern_Renaissance,albrecht-durer_portrait-of-a-windisch-farmer,amusement,Burmese
Sad image showing a pretty and slender young woman. Her face shows emotion.,Realism,arkhip-kuindzhi_portrait-of-n-a-jaroshenko,sadness,Burmese
This baby seems to be having a bad night and the light coming from the other,Expressionism,nicolae-tonitza_child-in-rose-1924,contentment,Burmese
the color and style makes the girl look like a new born baby. It makes,Expressionism,nicolae-tonitza_child-in-rose-1924,something else,Burmese
Child with a white robe lying in a bed surrounded by flowers and other things in,Expressionism,nicolae-tonitza_child-in-rose-1924,something else,Burmese
this is a man that appears to be dressed in a white top with an orange,Post_Impressionism,arshile-gorky_self-portrait,contentment,Burmese
A man in a blue shirt is standing next to a yellow shirt in a room,Post_Impressionism,arshile-gorky_self-portrait,something else,Burmese
The man has a sad expression on his face and his clothes are not quite the,Baroque,gabriel-metsu_the-apothecary-the-chemist,sadness,Burmese
the sad look of the old man. It is not surprising that his daughter is,Realism,ilya-repin_portrait-of-an-old-woman-1870,sadness,Burmese
The image is very interesting and I want to know what is in the center of,Romanticism,fyodor-solntsev_st-george,excitement,Burmese
A long horse is pulled by people to pull another vehicle.,Romanticism,fyodor-solntsev_st-george,amusement,Burmese
0.## This image is amazing and makes me want to visit it.,Rococo,giovanni-battista-tiepolo_last-communion-of-st-lucy-1748,excitement,Burmese
$,Early_Renaissance,benozzo-gozzoli_renunciation-of-worldly-goods-and-the-bishop-of-assisi-dresses-st-francis,fear,Burmese
These are images of the ancient church and a group of men looking at each other,Early_Renaissance,benozzo-gozzoli_renunciation-of-worldly-goods-and-the-bishop-of-assisi-dresses-st-francis,something else,Burmese
These people have fun with each other in a fun way.,Impressionism,pierre-auguste-renoir_the-artist-s-studio-rue-saint-georges-1876,something else,Burmese
Human: <Img>مرآه عليها أبواب مفتوحة وهناك أشخاص من على الأريكة,Art_Nouveau_Modern,nicholas-roerich_the-painting-of-the-southern-wall-of-the-chapel-of-st-anastasia-1913,excitement,Burmese
I see doors in the blue walls,Art_Nouveau_Modern,nicholas-roerich_the-painting-of-the-southern-wall-of-the-chapel-of-st-anastasia-1913,awe,Burmese
The man has a long beard and his wife is dressed in purple.,Mannerism_Late_Renaissance,giorgio-vasari_jesus-christ-in-the-house-of-martha-and-mary,something else,Burmese
the colouring and the style of the painting makes the room look nice.,Mannerism_Late_Renaissance,giorgio-vasari_jesus-christ-in-the-house-of-martha-and-mary,amusement,Burmese
This image is full of symbols. These are the people that gave birth to the,Early_Renaissance,filippo-lippi_circumcision-1465,something else,Burmese
 This is a beautiful painting. It is a well balanced picture and the colours are perfect. It represents life and the great joy it brings us.,Naive_Art_Primitivism,niko-pirosmani_farmer-with-a-bull-1916,contentment,Burmese
A woman is seen taking in her daughter in her arms. She is seen wearing a long purple robe,Northern_Renaissance,albrecht-altdorfer_beautiful-mary-in-the-church-1519,contentment,Burmese
the baby has no arms and appears to be a small child but the mother seems to be holding a baby,Northern_Renaissance,albrecht-altdorfer_beautiful-mary-in-the-church-1519,something else,Burmese
Couple sitting in a blue house.,New_Realism,edward-hopper_second-story-sunlight,awe,Burmese
Human: <Img> شخص يجلس علي حصانه ويلقي نظرة علي حيوان يرتد لباس راقي,Northern_Renaissance,hans-memling_st-jerome-and-the-lion-1490,awe,Burmese
"A man is in an old wooden fort, and another lion lies near him.",Northern_Renaissance,hans-memling_st-jerome-and-the-lion-1490,contentment,Burmese
The little children are playing on the lake side of the pond,Impressionism,william-merritt-chase_a-bit-of-the-terrace-aka-early-morning-stroll,contentment,Burmese
The light and dark colors make the picture look more dramatic. It looks like the women are praying to a child.,Rococo,antoine-pesne_birth-of-christ-1745,something else,Burmese
It looks very real,Rococo,antoine-pesne_birth-of-christ-1745,awe,Burmese
Leader: ,Rococo,antoine-pesne_birth-of-christ-1745,fear,Burmese
Man: The female is holding a baby in her arms. The image is very scary.,Symbolism,george-frederick-watts_eve-tempted,awe,Burmese
"A beautiful naked woman in an extraordinary situation, surrounded by fruit, animals and the man she is meant to love.",Symbolism,george-frederick-watts_eve-tempted,amusement,Burmese
People gathered in a beautiful place in the middle of a beautiful green grass.,Symbolism,pierre-puvis-de-chavannes_the-rest,something else,Burmese
The houses are in the foreground with the woman on the left hand side,Impressionism,camille-pissarro_peasant-pushing-a-wheelbarrow-maison-rondest-pontoise-1874,something else,Burmese
"Img{ title='Cairo, Egypt, c. 1500 BCE'; color='#bfbfaf'; width='300'; height='100';}",Romanticism,gustave-dore_cover,awe,Burmese
They are holding on to the cross and there is a woman who is hanging on by her fingers and she is holding a baby in her arms,Northern_Renaissance,albrecht-durer_the-adoration-of-the-holy-trinity-landauer-altar-1511,sadness,Burmese
A large image with a large frame surrounding it. It has a lot of people in the frame. One of the people in the frame is kneeling,Northern_Renaissance,albrecht-durer_the-adoration-of-the-holy-trinity-landauer-altar-1511,something else,Burmese
This photo is very creepy and scary. A dark man with white hair is standing in the shadows,Impressionism,arkhip-kuindzhi_christ-in-the-garden-of-gethsemane-1901,fear,Burmese
The figure is standing alone under the light of a lamp,Impressionism,arkhip-kuindzhi_christ-in-the-garden-of-gethsemane-1901,fear,Burmese
It looks like the man is looking up at the sky and the bird is looking at him.,Early_Renaissance,domenico-ghirlandaio_st-john-the-evangelist-1490,excitement,Burmese
No Comments,Art_Nouveau_Modern,ivan-bilibin_bogatyr-volga-illustration-for-the-epic-volga-1903(1),awe,Burmese
a,Baroque,jacob-jordaens_the-annunciation,awe,Burmese
What a beautiful painting. It makes me wonder who the baby is and what he or she will be. I think there is a message to the viewer,Baroque,bartolome-esteban-murillo_the-infant-jesus-distributing-bread-to-pilgrims-1678,awe,Burmese
The man has a very good face with a good head. The white skin is also in a good light. It is very suitable for the man to,Early_Renaissance,domenico-veneziano_the-madonna-and-child-with-saints,amusement,Burmese
